#a_id,w_id,product title,amazon_price,walmart_price,average battery life,brand,display resolution,hard disk size,laptop computer type,operating system,processor (cpu) manufacturer,processor count,processor speed,ram size,screen size
a1047,w1485,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1399.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1487,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$899.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1488,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1249.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1493,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$999.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1497,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1099.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1501,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1399.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1510,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1249.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1511,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$949.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1514,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$999.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1519,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$949.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
